streamer,title,url,views,duration,created_at
Anyme023,on arrete de faire semblant quand ?,https://www.twitch.tv/anyme023/clip/AcceptableDrabCoyoteNomNom-KYY-LxUnduFlLnUE,215,60,2025-05-30T11:45:39Z
Anyme023,danse anyme,https://www.twitch.tv/anyme023/clip/NimbleDeafCheddarTF2John-U2TiimnUvs_2i_6i,164,24.9,2025-05-30T10:46:01Z
Anyme023,il l’assume enfinnn !,https://www.twitch.tv/anyme023/clip/NaiveCoweringShallotNotLikeThis-NDIhCv5trnbZpv59,122,13.3,2025-05-31T01:06:02Z
Anyme023,egk,https://www.twitch.tv/anyme023/clip/CooperativeRoundDiscTheTarFu-1Us6RY3kB3hKsxPf,102,60,2025-05-30T09:48:16Z
Anyme023,Ou et la commu?,https://www.twitch.tv/anyme023/clip/VenomousGoodTitanTBTacoRight-TmUqUJVQ4TnNWx70,99,39.3,2025-05-30T21:10:52Z
Anyme023,Wsh chefffff??!!!!,https://www.twitch.tv/anyme023/clip/FrigidSlickSeahorseGOWSkull-_eoaQOhaBwe_0wot,97,30,2025-05-30T20:46:38Z
Anyme023,hahhahhahah,https://www.twitch.tv/anyme023/clip/SmoggyTentativeDragonfruitDatSheffy-coDpxSW0V0KVsXFb,91,30,2025-05-30T21:27:43Z
Anyme023,Règlement de compte sur Crazy Town,https://www.twitch.tv/anyme023/clip/PlacidAcceptableRamenKeyboardCat-KzgWC6G_d7RoHvxJ,71,34.1,2025-05-30T12:20:32Z
Anyme023,wsh le derapage,https://www.twitch.tv/anyme023/clip/PopularKawaiiMarjoramSmoocherZ-ZwH6eKC6jCUQJzPY,71,16.6,2025-05-30T22:24:03Z
Anyme023,anyme,https://www.twitch.tv/anyme023/clip/SassySavageGoblinMikeHogu-VHzZsobRy_Qow0Zv,69,33.3,2025-05-30T12:37:07Z
Zafeel,zaf le toilette,https://www.twitch.tv/zafeel/clip/SassyVibrantGalagoKappaRoss-B29a42L_Ae79HbTS,63,40.4,2025-05-30T20:25:29Z
Anyme023,braquage,https://www.twitch.tv/anyme023/clip/TenaciousGloriousMushroomPhilosoraptor-KkWUCqeFfa8Xhk5e,61,30,2025-05-30T13:35:45Z
Anyme023,mentor,https://www.twitch.tv/anyme023/clip/FuriousSnappyLemurOpieOP-V792fFdy2mAjIHuP,59,17.3,2025-05-30T20:26:14Z
Anyme023,le don,https://www.twitch.tv/anyme023/clip/HedonisticSmoothScallionLitty-lfjr-DxET5gZxD9c,53,9.4,2025-05-30T19:54:43Z
xonsah,il emmerde squeezie,https://www.twitch.tv/xonsah/clip/TentativeKathishPhoneAsianGlow-ET1WwEEpf6Kb_LOj,52,30,2025-05-30T23:06:18Z
Anyme023,frr,https://www.twitch.tv/anyme023/clip/WrongClumsyFinchLitty-x32U8b0O8zuYt5OP,49,23.2,2025-05-30T21:27:54Z
xonsah,il emmerde louis san aussi,https://www.twitch.tv/xonsah/clip/SparklyThankfulAsparagusRaccAttack-Bf9VlBsWNTE-RUTg,49,30,2025-05-30T23:21:56Z
Anyme023,CRAZYTOWN CE SOIIIIR,https://www.twitch.tv/anyme023/clip/ExquisiteAffluentNightingaleKeepo-VC41hB3K8QaByPuE,45,30.6,2025-05-30T11:07:41Z
Anyme023,AHHAHAHAHA,https://www.twitch.tv/anyme023/clip/SneakyCoyMooseDxCat-vFjNdKHk9zYeAmIo,45,30,2025-05-30T13:45:49Z
Michou,clliiip,https://www.twitch.tv/michou/clip/SplendidBovineRedpandaEagleEye-0PsbXs1gt294Fknn,45,28.5,2025-05-30T19:25:05Z
Anyme023,mdr,https://www.twitch.tv/anyme023/clip/ProtectiveTransparentAniseMoreCowbell-u89OaWzWSVxTeDlY,41,30,2025-05-30T13:38:42Z
Anyme023,donuts,https://www.twitch.tv/anyme023/clip/AbrasiveBovineSmoothieKreygasm-vP4Lr8S_LtIazuEZ,37,30,2025-05-30T19:49:16Z
Anyme023,quelle taille ton futur appart/c’est un quoi ton appart?,https://www.twitch.tv/anyme023/clip/AbrasiveInnocentFinchUnSane-SGud77rcDZlRvVyD,37,44,2025-05-30T20:20:03Z
Zafeel,Ari mon gros chien,https://www.twitch.tv/zafeel/clip/FancySpikyApeBabyRage-5lDfIUYAeXvqwsrJ,37,38.9,2025-05-30T19:19:51Z
Anyme023,don moi,https://www.twitch.tv/anyme023/clip/AffluentSweetWrenchHumbleLife-m-O5PDdP_mZgjnn1,33,10.7,2025-05-30T20:44:22Z
Zafeel,zaf se bat avec sa pisse,https://www.twitch.tv/zafeel/clip/InexpensiveNaiveNigiriDBstyle-tC0xkwD0Ugv9h1Dd,33,30,2025-05-30T20:56:48Z
Raffale_,#AdicteEtPauvre,https://www.twitch.tv/raffale_/clip/EmpathicColdbloodedShrewEleGiggle-WpwLjzApXOKZLMHF,31,30,2025-05-30T18:32:43Z
Raffale_,J'ai dormi que 2h30... MAIS BON... GO CHILL CRAZYTOWN ! 😍 -🚨 !video,https://www.twitch.tv/raffale_/clip/SmilingSleepyMacaroniCopyThis-UE-MZm9agpzFbJ-y,31,30,2025-05-30T17:13:28Z
Michou,elle est la,https://www.twitch.tv/michou/clip/SincereInexpensiveMinkHotPokket-zNc426gl9AEAl4Bs,29,30,2025-05-30T21:06:45Z
Raffale_,les nouveaux chien de raff,https://www.twitch.tv/raffale_/clip/FancyTolerantUdonUnSane-pSWwQ8NVbEOMoc5F,29,39.8,2025-05-30T19:20:04Z
Zafeel,en pleine scène,https://www.twitch.tv/zafeel/clip/ObesePlumpAdminLitty-34_HJiqIZ1fHg2mP,28,15.2,2025-05-30T19:22:48Z
Michou,GFGF,https://www.twitch.tv/michou/clip/MiniatureHappyPotatoJKanStyle-71mwk6RzS7ToGEpY,27,36.7,2025-05-30T21:08:39Z
