streamer,title,url,views,duration,created_at,category
Terracid,La trahison du patron,https://www.twitch.tv/terracid/clip/InterestingCogentOpossumNotATK-FO8Tst-rQ8XXVQhZ,442,60,2025-05-29T22:04:24Z,Minecraft
Terracid,Fou-rire avec Anyme qui essaie de rentrer derrière le comptoir,https://www.twitch.tv/terracid/clip/HelplessSaltyGoldfishLitFam-uMk6Lmkpa9ctT4r5,321,25.4,2025-05-29T22:26:29Z,Minecraft
Hctuan,ca explose,https://www.twitch.tv/hctuan/clip/DifferentDarlingLardBlargNaut-zfYmLpD3g5rsXpBI,293,41.6,2025-05-29T21:11:55Z,Minecraft
Terracid,Pas discret le Anyme,https://www.twitch.tv/terracid/clip/TubularGleamingReubenDansGame-jqxOc5VN6SlVNGtK,259,24.3,2025-05-29T23:05:26Z,Minecraft
Terracid,LA TEAM CLAQUETTE,https://www.twitch.tv/terracid/clip/ArbitraryIcyClipzPicoMause-EVA4dXfTcqC9WBpM,215,46.5,2025-05-29T20:56:27Z,Minecraft
Terracid,Le pire braqueur,https://www.twitch.tv/terracid/clip/TacitPopularBorkDxCat-ItsUCLfuXSq-fZo8,183,43.3,2025-05-29T22:21:54Z,Minecraft
Terracid,La fin du duo Wankil,https://www.twitch.tv/terracid/clip/CaringHyperPigeonCoolStoryBob-QMroeDrqpfAYivy6,173,49.9,2025-05-29T23:21:53Z,Minecraft
Terracid,Ça part en cacahouète,https://www.twitch.tv/terracid/clip/MotionlessArborealPuffinAMPEnergyCherry-jv9W5DH5rsd8r7yA,144,50.8,2025-05-29T21:18:20Z,Minecraft
Raffale_,"""le clebard sur le noir """,https://www.twitch.tv/raffale_/clip/FlirtyBetterOrangeDancingBaby-xsZCcB_OrLK1o7yr,141,44.6,2025-05-29T22:35:19Z,Minecraft
Terracid,Il parie son clébard,https://www.twitch.tv/terracid/clip/RelentlessSuccessfulOilCorgiDerp-EFaNti4ybvsi5Pxl,131,60,2025-05-29T22:36:18Z,Minecraft
Terracid,Bah alors Hctuan,https://www.twitch.tv/terracid/clip/TacitEasyCormorantBlargNaut-ISkZqBU-qxwzJUHQ,117,27.7,2025-05-29T20:40:22Z,Minecraft
Terracid,L'œuf ou la poule...,https://www.twitch.tv/terracid/clip/HedonisticObliviousJalapenoRedCoat-aY00vjL5B_N3oVEZ,105,13.3,2025-05-29T22:08:39Z,Minecraft
Raffale_,bye bye ari,https://www.twitch.tv/raffale_/clip/InnocentAverageCiderYee-4PJyQhBM-nbzW58V,105,30,2025-05-29T22:34:41Z,Minecraft
Mastu,A cause Sam ils perdent les crazycoins,https://www.twitch.tv/mastu/clip/VainLittleMarrowPupper-2TvvdMCzD74baxwH,99,30,2025-05-29T21:06:49Z,Minecraft
Terracid,on est en subathon,https://www.twitch.tv/terracid/clip/MildBoldDiamondFrankerZ-8s71VFcUsgaXVUYv,89,31.9,2025-05-29T22:13:27Z,Minecraft
Terracid,Anyme est fou part 154485415618,https://www.twitch.tv/terracid/clip/GloriousIntelligentArmadilloRaccAttack-_XJTkU5s1727T9Ms,87,34.5,2025-05-29T22:47:31Z,Minecraft
Terracid,Racketté par la team claquette,https://www.twitch.tv/terracid/clip/SparklyNaiveBeePeoplesChamp-1RRqpygqbn-zQWCJ,87,60,2025-05-29T20:56:46Z,Minecraft
Terracid,"""Anniversaire surprise"" pour Xonsah",https://www.twitch.tv/terracid/clip/MagnificentFaithfulNuggets4Head-nT2srYwj1HKH5Soo,85,56.8,2025-05-29T21:35:40Z,Minecraft
Anyme023,on arrete de faire semblant quand ?,https://www.twitch.tv/anyme023/clip/AcceptableDrabCoyoteNomNom-KYY-LxUnduFlLnUE,83,60,2025-05-30T11:45:39Z,Minecraft
Terracid,J'étais là à l'époque,https://www.twitch.tv/terracid/clip/HumbleFantasticStorkCclamChamp-AtvYvsiuafMqRBrX,79,56.8,2025-05-29T22:50:34Z,Minecraft
Terracid,JE MISE TON CLEBARD,https://www.twitch.tv/terracid/clip/ToughObeseEmuKlappa-ywwanCmyayuMJP0H,79,6.9,2025-05-29T23:25:43Z,Minecraft
Mastu,mdr,https://www.twitch.tv/mastu/clip/OptimisticModernClipsdadChocolateRain-MitmdCNcZyySvZ1H,77,21.3,2025-05-29T20:52:05Z,Minecraft
Raffale_,pauvre + le chien de terra,https://www.twitch.tv/raffale_/clip/SingleFreezingFungusKlappa-sbsNRK3Awgjg40Ta,75,30,2025-05-29T22:41:59Z,Minecraft
